Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,Church Av - BQ,Church Av,Undefined,BQ,Brooklyn,D28N
,Church Av - FG,Church Av,Undefined,FG,Brooklyn,F27N
,City Hall - RW,City Hall,Undefined,RW,Manhattan,R24N
,Clark St - 23,Clark St,Undefined,23,Brooklyn,231N
,Classon Av - G,Classon Av,Undefined,G,Brooklyn,G34N
,Cleveland St - J,Cleveland St,Undefined,J,Brooklyn,J22N
,Clinton-Washington Avs - CG,Clinton-Washington Avs,Undefined,CG,Brooklyn,G35N
,Clinton-Washington Avs - CG,Clinton-Washington Avs,Undefined,CG,Brooklyn,A44N
,Coney Island-Stillwell Av - NDFQ,Coney Island-Stillwell Av,Undefined,NDFQ,Brooklyn,D43N
,Cortelyou Rd - Q,Cortelyou Rd,Undefined,Q,Brooklyn,D30N
,Cortlandt St - RW,Cortlandt St,Undefined,RW,Manhattan,R25N
,Court Sq - 7G,Court Sq,Undefined,7G,Queens,719N
,Court Sq - 7G,Court Sq,Undefined,7G,Queens,G22N
,Court Sq-23 St - EM,Court Sq-23 St,Undefined,EM,Queens,F09N
,Court St - R,Court St,Court St,R,Brooklyn,R28N
,Crescent St - JZ,Crescent St,Undefined,JZ,Brooklyn,J20N
,Crown Hts-Utica Av - 34,Crown Hts-Utica Av,Undefined,34,Brooklyn,250N
,Cypress Av - 6,Cypress Av,Undefined,6,The Bronx,617N
,Cypress Hills - J,Cypress Hills,Undefined,J,Brooklyn,J19N
,DeKalb Av - BQR,DeKalb Av,DeKalb Av,BQR,Brooklyn,R30N
,DeKalb Av - L,DeKalb Av,DeKalb Av,L,Brooklyn,L16N
,Delancey St-Essex St - FMJZ,Delancey St-Essex St,Undefined,FMJZ,Manhattan,F15N
,Delancey St-Essex St - FMJZ,Delancey St-Essex St,Undefined,FMJZ,Manhattan,M18N
,Ditmas Av - F,Ditmas Av,Undefined,F,Brooklyn,F29N
,Dyckman St - 1,Dyckman St,Undefined,1,Manhattan,109N
,Dyckman St - A,Dyckman St,Undefined,A,Manhattan,A03N
,E 143 St-St Mary's St - 6,E 143 St-St Mary's St,Undefined,6,The Bronx,616N
,E 149 St - 6,E 149 St,Undefined,6,The Bronx,615N
,E 180 St - 25,E 180 St,Undefined,25,The Bronx,213N
,East 105 St - L,East 105 St,Undefined,L,Brooklyn,L28N
,East Broadway - F,East Broadway,Undefined,F,Manhattan,F16N
,Eastchester-Dyre Av - 5,Eastchester-Dyre Av,Undefined,5,The Bronx,501N
,Eastern Pkwy-Brooklyn Museum - 23,Eastern Pkwy-Brooklyn Museum,Undefined,23,Brooklyn,238N
,Elder Av - 6,Elder Av,Undefined,6,The Bronx,611N
,Elmhurst Av - MR,Elmhurst Av,Undefined,MR,Queens,G13N
,Euclid Av - AC,Euclid Av,Undefined,AC,Brooklyn,A55N
,Far Rockaway-Mott Av - A,Far Rockaway-Mott Av,Undefined,A,Queens,H11N
,Flatbush Av-Brooklyn College - 25,Flatbush Av-Brooklyn College,Undefined,25,Brooklyn,247N
,Flushing Av - G,Flushing Av,Undefined,G,Brooklyn,G31N
,Flushing Av - MJ,Flushing Av,Undefined,MJ,Brooklyn,M12N
,Flushing-Main St - 7,Flushing-Main St,Undefined,7,Queens,701N
,Fordham Rd - 4,Fordham Rd,Undefined,4,The Bronx,407N
,Fordham Rd - BD,Fordham Rd,Undefined,BD,The Bronx,D05N
,Forest Av - M,Forest Av,Undefined,M,Queens,M05N
,Forest Hills-71 Av - EFRM,Forest Hills-71 Av,Undefined,EFRM,Queens,G08N
,Fort Hamilton Pkwy - D,Fort Hamilton Pkwy,Undefined,D,Brooklyn,B13N
,Fort Hamilton Pkwy - FG,Fort Hamilton Pkwy,Undefined,FG,Brooklyn,F26N
,Fort Hamilton Pkwy - N,Fort Hamilton Pkwy,Undefined,N,Brooklyn,N03N
,Franklin Av - CS,Franklin Av,Undefined,CS,Brooklyn,S01N
,Franklin Av - CS,Franklin Av,Undefined,CS,Brooklyn,A45N
,Franklin Av-Medgar Evers College - 2345,Franklin Av-Medgar Evers College,Undefined,2345,Brooklyn,239N
,Franklin St - 1,Franklin St,Undefined,1,Manhattan,136N
,Freeman St - 25,Freeman St,Undefined,25,The Bronx,216N
,Fresh Pond Rd - M,Fresh Pond Rd,Undefined,M,Queens,M04N
,Fulton St - 2345AC,Fulton St,Undefined,2345AC,Manhattan,229N
,Fulton St - 2345AC,Fulton St,Undefined,2345AC,Manhattan,418N
,Fulton St - 2345AC,Fulton St,Undefined,2345AC,Manhattan,A38N
,Fulton St-Nassau - JZ,Fulton St-Nassau,Undefined,JZ,Manhattan,M22N
,Fulton St-S Portland - G,Fulton St-S Portland,Undefined,G,Brooklyn,G36N
,Gates Av - JZ,Gates Av,Undefined,JZ,Brooklyn,J30N
,Graham Av - L,Graham Av,Undefined,L,Brooklyn,L11N
,Grand Army Plaza - 23,Grand Army Plaza,Undefined,23,Brooklyn,237N
,Grand Av-Newtown - MR,Grand Av-Newtown,Undefined,MR,Queens,G12N
,Grand Central-42 St - 4567S,Grand Central-42 St,Undefined,4567S,Manhattan,631N
,Grand Central-42 St - 4567S,Grand Central-42 St,Undefined,4567S,Manhattan,901N
,Grand Central-42 St - 4567S,Grand Central-42 St,Undefined,4567S,Manhattan,723N
,Grand St - BD,Grand St,Undefined,BD,Manhattan,D22N
,Grand St - L,Grand St,Undefined,L,Brooklyn,L12N
,Grant Av - A,Grant Av,Undefined,A,Brooklyn,A57N
,Greenpoint Av - G,Greenpoint Av,Undefined,G,Brooklyn,G26N
,Gun Hill Rd - 25,Gun Hill Rd,Undefined,25,The Bronx,208N
,Gun Hill Rd - x,Gun Hill Rd,Undefined,x,The Bronx,503N
,Gun Hill Rd - x,Gun Hill Rd,Undefined,x,The Bronx,503N
,Halsey St - JZ,Halsey St,Undefined,JZ,Brooklyn,J29N
,Halsey St - L,Halsey St,Undefined,L,Brooklyn,L19N
,Harlem-148 St - 3,Harlem-148 St,Undefined,3,Manhattan,301N
,Hewes St - JM,Hewes St,Undefined,JM,Brooklyn,M14N
,High St - AC,High St,Undefined,AC,Brooklyn,A40N
,Houston St - 1,Houston St,Undefined,1,Manhattan,134N
,Howard Beach-JFK Airport - A,Howard Beach-JFK Airport,Undefined,A,Queens,H03N
,Hoyt St - 23,Hoyt St,Undefined,23,Brooklyn,233N
,Hoyt-Schermerhorn Sts - ACG,Hoyt-Schermerhorn Sts,Undefined,ACG,Brooklyn,A42N
,Hunters Point Av - 7,Hunters Point Av,Undefined,7,Queens,720N
,Hunts Point Av - 6,Hunts Point Av,Undefined,6,The Bronx,613N
,Intervale Av - 25,Intervale Av,Undefined,25,The Bronx,218N
,Inwood-207 St - A,Inwood-207 St,Undefined,A,Manhattan,A02N
,Jackson Av - 25,Jackson Av,Undefined,25,The Bronx,220N
,Jackson Hts-Roosevelt Av - EFMR,Jackson Hts-Roosevelt Av,Undefined,EFMR,Queens,G14N
,Jamaica Center-Parsons/Archer - EJZ,Jamaica Center-Parsons/Archer,Undefined,EJZ,Queens,G05N
,Jamaica-179 St - F,Jamaica-179 St,Undefined,F,Queens,F01N
,Jamaica-Van Wyck - E,Jamaica-Van Wyck,Undefined,E,Queens,G07N
x,Jay St-MetroTech - R,Jay St-MetroTech,Jay St-MetroTech,R,Brooklyn,R29N
x,Jay St-MetroTech - ACF,Jay St-MetroTech,Jay St-MetroTech,ACF,Brooklyn,A41N
,Jefferson St - L,Jefferson St,Undefined,L,Brooklyn,L15N
,Junction Blvd - 7,Junction Blvd,Undefined,7,Queens,707N
,Junius St - 3,Junius St,Undefined,3,Brooklyn,254N
,Kew Gardens-Union Tpke - EF,Kew Gardens-Union Tpke,Undefined,EF,Queens,F06N
,Kings Hwy - BQ,Kings Hwy,Undefined,BQ,Brooklyn,D35N
,Kings Hwy - F,Kings Hwy,Undefined,F,Brooklyn,F35N
,Kings Hwy - N,Kings Hwy,Undefined,N,Brooklyn,N08N
,Kingsbridge Rd - 4,Kingsbridge Rd,Undefined,4,The Bronx,406N
,Kingsbridge Rd - BD,Kingsbridge Rd,Undefined,BD,The Bronx,D04N
,Kingston Av - 3,Kingston Av,Undefined,3,Brooklyn,249N
,Kingston-Throop Avs - C,Kingston-Throop Avs,Undefined,C,Brooklyn,A47N
,Knickerbocker Av - M,Knickerbocker Av,Undefined,M,Brooklyn,M09N
,Kosciuszko St - J,Kosciuszko St,Undefined,J,Brooklyn,J31N
,Lafayette Av - C,Lafayette Av,Undefined,C,Brooklyn,A43N
,Lexington Av/53 St - EM,Lexington Av/53 St,Undefined,EM,Manhattan,F11N
,Lexington Av/59 St - NRW,Lexington Av/59 St,Undefined,NRW,Manhattan,R11N
,Lexington Av/63 St - FQ,Lexington Av/63 St,Undefined,FQ,Manhattan,B08N
