Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,Times Sq-42 St - 1237RWS,Times Sq-42 St,Undefined,1237RWS,Manhattan,902N
,Times Sq-42 St - NQRW,Times Sq-42 St,Undefined,NQRW,Manhattan,R16N
,Tremont Av - BD,Tremont Av,Undefined,BD,The Bronx,D07N
,Union St - R,Union St,Undefined,R,Brooklyn,R32N
,Utica Av - AC,Utica Av,Undefined,AC,Brooklyn,A48N
,Van Cortlandt Park-242 st - 1,Van Cortlandt Park-242 st,Undefined,1,The Bronx,101N
,Van Siclen Av - 3,Van Siclen Av,Undefined,3,Brooklyn,256N
,Van Siclen Av - C,Van Siclen Av,Undefined,C,Brooklyn,A53N
,Van Siclen Av - JZ,Van Siclen Av,Undefined,JZ,Brooklyn,J23N
,Vernon Blvd-Jackson Av - 7,Vernon Blvd-Jackson Av,Undefined,7,Queens,721N
,W 4 St-Wash Sq - ACE,W 4 St-Wash Sq,Undefined,ACE,Manhattan,A32N
,W 4 St-Wash Sq - BDFM,W 4 St-Wash Sq,Undefined,BDFM,Manhattan,D20N
,W 8 St-NY Aquarium - FQ,W 8 St-NY Aquarium,Undefined,FQ,Brooklyn,D42N
,Wakefield-241 St - 2,Wakefield-241 St,Undefined,2,The Bronx,201N
,Wall St - 2345,Wall St,Undefined,2345,Manhattan,419N
,Wall St - 2345,Wall St,Undefined,2345,Manhattan,230N
,West Farms Sq-E Tremont Av - 25,West Farms Sq-E Tremont Av,Undefined,25,The Bronx,214N
,West Farms Sq-E Tremont Av - 256,West Farms Sq-E Tremont Av,Undefined,256,The Bronx,604N
,Whitehall St-South Ferry - RW,Whitehall St-South Ferry,Undefined,RW,Manhattan,R27N
,Whitlock Av - 6,Whitlock Av,Undefined,6,The Bronx,612N
,Wilson Av - L,Wilson Av,Undefined,L,Brooklyn,L20N
,Winthrop St - 25,Winthrop St,Undefined,25,Brooklyn,243N
,Woodhaven Blvd - JZ,Woodhaven Blvd,Undefined,JZ,Queens,J15N
,Woodhaven Blvd - RM,Woodhaven Blvd,Undefined,RM,Queens,G11N
,Woodlawn - 4,Woodlawn,Undefined,4,The Bronx,401N
,World Trade Center - E,World Trade Center,Undefined,E,Manhattan,E01N
,WTC Cortlandt - 1,WTC Cortlandt,Undefined,1,Manhattan,138N
,York St - F,York St,Undefined,F,Brooklyn,F18N
,Zerega Av - 6,Zerega Av,Undefined,6,The Bronx,606N
